Designator	Footprint	Quantity	Value	LCSC Part #
"C1, C4, C5"	603	3	100pF	C14858
C3	603	1	100nF	C14663
C6	CAP_EEEFK1E101P	1	EEEFK1E101P	C178539
D1	D_SMA	1	SMAJ5.0A	C908757
D2	D_SMA	1	SS14	C2480
F1	FUSER_0ZCG0200AF2B	1	0ZCG0200AF2B	C5160649
"J1, J2"	JST_B6B-XH-A_LF__SN_	2	B6B-XH-A_LF__SN_	C144397
"J3, J4"	PinSocket_1x19_P2.54mm_Vertical	2	Conn_01x19_Socket	C319202
J5	PHOENIX_1731721	1	1731721	C5443577
PS1	Converter_ACDC_MeanWell_IRM-10-xx_THT	1	IRM-10-5	C2857903
Q1	SOT-23	1	MMBT2222A	C7420351
"R1, R5, R7"	603	3	100k	C25803
"R2, R6, R8"	805	3	180k	C17501
R3	603	1	1K?	C21190
R4	603	1	10 K?	C15401
RV1	B72210S0321K551	1	B72210S0321K551	C210517
