Designator,Mid X,Mid Y,Rotation,Layer
C1,89.154,-54.9656,180.0,top
C3,102.616,-58.4708,0.0,top
C4,89.526,-60.175,180.0,top
C5,79.2,-55.3212,180.0,top
C6,102.375,-52.775,0.0,top
D1,102.7176,-61.3156,0.0,top
D2,94.996,-63.246,90.0,top
F1,102.5652,-65.4812,0.0,top
J1,83.535201,-49.919401,180.0,top
J2,83.349999,-98.094802,180.0,top
J3,110.540799,-74.168001,0.0,top
J4,135.991598,-74.168003,0.0,top
J5,65.0438,-52.371899,180.0,top
PS1,76.597299,-85.408999,0.0,top
Q1,78.0625,-65.6692,0.0,top
R1,87.9978,-56.55,0.0,top
R2,89.52,-58.425,180.0,top
R3,79.6422,-60.9092,180.0,top
R4,79.6422,-62.8396,180.0,top
R5,85.54,-63.43,0.0,top
R6,89.521,-61.9624,180.0,top
R7,78.0,-57.0276,0.0,top
R8,79.2,-58.925,180.0,top
RV1,64.925,-63.15,180.0,top
